"cog_state","prob_ave_workload","prob_bds_workload","prob_distraction","prob_fbds_workload","prob_high_eng","prob_low_eng","prob_sleep_onset","fz_o1_gamma","fz_pz_alpha","fz_t3_beta","n_fixations","n_saccades","pupil_size","scan_path_length","option","complexity_type","subject","option_type","mot","vs","response","predicted_values","residuals"
0.9,0.754866666666667,0.729731,0,0.780002333333333,0.821827333333333,0.110572666666667,0.0675996666666667,0.783453608518434,0.162406051586432,0.757459671815423,9,46,3.07971453167903,111.414283330783,"caution_option","S002",2008,"pre_option",0.733333333333333,0.666666666666667,0,0.260456629133316,-0.260456629133316
0.9,0.800502333333333,0.747069333333333,0,0.853935333333333,0.887461,0.112538666666667,0,0.450017815733206,0.423086672233752,0.583704776578884,8,52,3.19925989611395,63.2684894863183,"caution_option","S002",2008,"pre_option",0.733333333333333,0.666666666666667,0,0.369447383311403,-0.369447383311403
0.9,0.80702,0.777411333333333,0,0.836627666666667,0.982089333333333,0.017881,3e-05,0.778429396981598,0.270107223935547,0.721213845032749,6,54,3.06687185499403,121.587677599981,"caution_option","S002",2008,"pre_option",0.733333333333333,0.666666666666667,0,0.21495052847049,-0.21495052847049
0.9,0.848881333333333,0.793402666666667,0,0.90436,0.978719666666667,0.0212786666666667,1.66666666666667e-06,0.856723261040466,0.213651633755678,0.520268760754272,11,57,3.02269500010722,96.9350938531856,"caution_option","S002",2008,"pre_option",0.733333333333333,0.666666666666667,0,0.185793850216146,-0.185793850216146
0.9,0.741431333333333,0.664248,0,0.818614333333333,0.996568666666667,0.00343133333333333,0,0.729608932292207,0.274559893283654,0.540427791191866,10,56,2.87648657205943,101.912283832471,"caution_option","S002",2008,"pre_option",0.733333333333333,0.666666666666667,0,0.229467083680256,-0.229467083680256
0.9,0.65022,0.544068333333333,6.66666666666667e-07,0.756372,0.855402666666667,0.144596666666667,0,0.74488551666765,0.144625548175341,0.601112929817773,9,55,3.05923500061035,65.5088950223848,"caution_option","S002",2008,"pre_option",0.733333333333333,0.666666666666667,0,0.265371733132459,-0.265371733132459
0.9,0.819811,0.771460333333333,0,0.868162,0.952427666666667,0.0475723333333333,0,0.784261896102154,0.330153224554917,0.606251009487782,7,55,3.0398682753245,232.368300003689,"caution_option","S002",2008,"pre_option",0.733333333333333,0.666666666666667,0,0.221484709722802,-0.221484709722802
0.9,0.812495,0.765701666666667,0,0.859288666666667,0.994201333333333,0.00579866666666667,0,0.788661253304593,0.342802714940455,0.58631684296475,4,55,3.10009100702074,50.3939038280394,"caution_option","S002",2008,"pre_option",0.733333333333333,0.666666666666667,0,0.207424398951222,-0.207424398951222
0.9,0.650706333333333,0.544093333333333,0,0.75732,0.999870666666667,0.000129333333333333,0,0.847830514898848,0.345729343702223,0.596178068075836,7,54,2.98143926808532,372.119768048378,"target_option","S002",2008,"pre_option",0.733333333333333,0.666666666666667,1,0.182957642834771,0.817042357165229
0.7,0.335141666666667,0.283182333333333,0,0.387100666666667,0.314595,0.683404666666667,0.00200033333333333,0.343741631687233,0.420638794069949,0.139925696601501,8,56,3.90731005060593,187.269568863269,"target_option","S002",2009,"pre_option",0.816666666666667,0.633333333333333,1,0.661422634831187,0.338577365168813
